"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Livingston County, MO"	"29117"	"2016"	"2016"	Suppressed	15235	Suppressed
	"Livingston County, MO"	"29117"	"2017"	"2017"	Suppressed	15173	Suppressed
	"Livingston County, MO"	"29117"	"2018"	"2018"	Suppressed	15146	Suppressed
	"Livingston County, MO"	"29117"	"2019"	"2019"	Suppressed	15227	Suppressed
	"Livingston County, MO"	"29117"	"2020 "	"2020"	Suppressed	14413	Suppressed
	"McDonald County, MO"	"29119"	"2016"	"2016"	Suppressed	22620	Suppressed
	"McDonald County, MO"	"29119"	"2017"	"2017"	Suppressed	22828	Suppressed
	"McDonald County, MO"	"29119"	"2018"	"2018"	Suppressed	23078	Suppressed
	"McDonald County, MO"	"29119"	"2019"	"2019"	Suppressed	22837	Suppressed
	"McDonald County, MO"	"29119"	"2020 "	"2020"	Suppressed	22900	Suppressed
	"Macon County, MO"	"29121"	"2016"	"2016"	Suppressed	15170	Suppressed
	"Macon County, MO"	"29121"	"2017"	"2017"	Suppressed	15251	Suppressed
	"Macon County, MO"	"29121"	"2018"	"2018"	Suppressed	15153	Suppressed
	"Macon County, MO"	"29121"	"2019"	"2019"	Suppressed	15117	Suppressed
	"Macon County, MO"	"29121"	"2020 "	"2020"	Suppressed	15095	Suppressed
	"Madison County, MO"	"29123"	"2016"	"2016"	Suppressed	12443	Suppressed
	"Madison County, MO"	"29123"	"2017"	"2017"	Suppressed	12243	Suppressed
	"Madison County, MO"	"29123"	"2018"	"2018"	Suppressed	12188	Suppressed
	"Madison County, MO"	"29123"	"2019"	"2019"	Suppressed	12088	Suppressed
	"Madison County, MO"	"29123"	"2020 "	"2020"	Suppressed	12113	Suppressed
	"Maries County, MO"	"29125"	"2016"	"2016"	Suppressed	8858	Suppressed
	"Maries County, MO"	"29125"	"2017"	"2017"	Suppressed	8867	Suppressed
	"Maries County, MO"	"29125"	"2018"	"2018"	Suppressed	8769	Suppressed
	"Maries County, MO"	"29125"	"2019"	"2019"	Suppressed	8697	Suppressed
	"Maries County, MO"	"29125"	"2020 "	"2020"	Suppressed	8795	Suppressed
	"Marion County, MO"	"29127"	"2016"	"2016"	Suppressed	28894	Suppressed
	"Marion County, MO"	"29127"	"2017"	"2017"	Suppressed	28634	Suppressed
	"Marion County, MO"	"29127"	"2018"	"2018"	Suppressed	28592	Suppressed
	"Marion County, MO"	"29127"	"2019"	"2019"	Suppressed	28530	Suppressed
	"Marion County, MO"	"29127"	"2020 "	"2020"	Suppressed	28423	Suppressed
	"Mercer County, MO"	"29129"	"2016"	"2016"	Suppressed	3699	Suppressed
	"Mercer County, MO"	"29129"	"2017"	"2017"	Suppressed	3678	Suppressed
	"Mercer County, MO"	"29129"	"2018"	"2018"	Suppressed	3641	Suppressed
	"Mercer County, MO"	"29129"	"2019"	"2019"	Suppressed	3617	Suppressed
	"Mercer County, MO"	"29129"	"2020 "	"2020"	Suppressed	3558	Suppressed
	"Miller County, MO"	"29131"	"2016"	"2016"	Suppressed	25206	Suppressed
	"Miller County, MO"	"29131"	"2017"	"2017"	Suppressed	25228	Suppressed
	"Miller County, MO"	"29131"	"2018"	"2018"	Suppressed	25336	Suppressed
	"Miller County, MO"	"29131"	"2019"	"2019"	Suppressed	25619	Suppressed
	"Miller County, MO"	"29131"	"2020 "	"2020"	Suppressed	25791	Suppressed
	"Mississippi County, MO"	"29133"	"2016"	"2016"	Suppressed	13799	Suppressed
	"Mississippi County, MO"	"29133"	"2017"	"2017"	Suppressed	13586	Suppressed
	"Mississippi County, MO"	"29133"	"2018"	"2018"	Suppressed	13336	Suppressed
	"Mississippi County, MO"	"29133"	"2019"	"2019"	Suppressed	13180	Suppressed
	"Mississippi County, MO"	"29133"	"2020 "	"2020"	Suppressed	12691	Suppressed
	"Moniteau County, MO"	"29135"	"2016"	"2016"	Suppressed	16018	Suppressed
	"Moniteau County, MO"	"29135"	"2017"	"2017"	Suppressed	16063	Suppressed
	"Moniteau County, MO"	"29135"	"2018"	"2018"	Suppressed	16121	Suppressed
	"Moniteau County, MO"	"29135"	"2019"	"2019"	Suppressed	16132	Suppressed
